K,rmse,mae
5,0.9605468869209289,0.739094364643097
10,0.9301355957984925,0.7124441027641296
20,0.9180281162261963,0.7016806364059448
30,0.915567934513092,0.6993270754814148
40,0.9151250958442688,0.6985958099365235
60,0.9148305773735046,0.6983508825302124
80,0.9145374059677124,0.6983341574668884
100,0.9142204403877259,0.69833824634552
