model,rmse_mean,rmse_std,mae_mean,mae_std
ItemCF (MSD),1.5515018463134767,0.013846619293287276,1.1514988660812377,0.01178635117765435
PMF,0.886971390247345,0.004330269141880056,0.6829702377319335,0.004148903999895807
UserCF (MSD),0.9600391387939453,0.004074397348222504,0.7378233432769775,0.004295767801854827
