K,rmse,mae
5,1.1812694311141967,0.861126160621643
10,1.148148488998413,0.829145872592926
20,1.1293426036834717,0.8104262113571167
30,1.1227123022079468,0.8036887645721436
40,1.1192157506942748,0.8001404166221618
60,1.1165580034255982,0.7976351380348206
80,1.1154187202453614,0.796924376487732
100,1.1154904127120973,0.7971310973167419
